text,intent,action_type,verb,category_code,value,goal_name,enabled,theme,verbal_style,time_range,query,note
xem tổng cộng tiền sắm đồ năm ngoái á,Action,REPORT_GENERAL,,Shopping,,,,,,năm ngoái,,
thống kê tiền học hành từ đầu năm đến giờ coi sếp,Action,REPORT_GENERAL,,Education,,,,,,từ đầu năm đến giờ,,
chi tiêu di chuyển quý này kiu gì rồi?,Action,REPORT_GENERAL,,Transport,,,,,,quý này,,
tình hình nhà cửa tháng trước ra sao,Action,REPORT_GENERAL,,Housing,,,,,,tháng trước,,
tổng cộng tiền làm đẹp trong 3 tháng qua là bao nhiêu,Action,REPORT_GENERAL,,Beauty,,,,,,3 tháng qua,,
thống kê chi phí sức khỏe năm 2022 ntn,Action,REPORT_GENERAL,,Health,,,,,,năm 2022,,
report mấy khoản linh tinh hôm qua lun,Action,REPORT_GENERAL,,Others,,,,,,hôm qua,,
xem chi phí giao lưu tháng 11 đi,Action,REPORT_GENERAL,,Social,,,,,,tháng 11,,
cho tui biết tiền thiết yếu tuần trước đi ạ,Action,REPORT_GENERAL,,Essentials,,,,,,tuần trước,,
báo cáo đầu tư trong 6 tháng gần đây nha,Action,REPORT_GENERAL,,Investment,,,,,,6 tháng gần đây,,
tình hình chi tiêu ăn uống hôm nay ntn,Action,REPORT_GENERAL,,Food,,,,,,hôm nay,,
thống kê chi phí mua sắm tháng nì được không,Action,REPORT_GENERAL,,Shopping,,,,,,tháng này,,
report tiền học năm nay đi senpai,Action,REPORT_GENERAL,,Education,,,,,,năm nay,,
xem chi phí đi lại tuần này nè,Action,REPORT_GENERAL,,Transport,,,,,,tuần này,,
chi tiêu nhà cửa tháng này rứa nào,Action,REPORT_GENERAL,,Housing,,,,,,tháng này,,
tiền làm đẹp tháng trước có đáng sợ không,Action,REPORT_GENERAL,,Beauty,,,,,,tháng trước,,
kiểm tra chi phí y tế quý 1 dùm cái,Action,REPORT_GENERAL,,Health,,,,,,quý 1,,
thống kê các khoản khác trong 1 tháng vừa rồi đi nè,Action,REPORT_GENERAL,,Others,,,,,,1 tháng vừa rồi,,
xem tiền đi chơi với bạn bè tuần này ntn,Action,REPORT_GENERAL,,Social,,,,,,tuần này,,
cho tui coi chi phí sinh hoạt thiết yếu từ đầu tháng nha,Action,REPORT_GENERAL,,Essentials,,,,,,từ đầu tháng,,
báo cáo đầu tư tháng 12 năm 2023 nha app,Action,REPORT_GENERAL,,Investment,,,,,,tháng 12 năm 2023,,
tổng hợp chi tiêu giải trí tuần này dzùm,Action,REPORT_GENERAL,,Entertainment,,,,,,tuần này,,
cho xem chi phí ăn uống 7 ngày gần nhất đi ạ,Action,REPORT_GENERAL,,Food,,,,,,7 ngày gần nhất,,
report tiền mua sắm tháng 9 cái coi,Action,REPORT_GENERAL,,Shopping,,,,,,tháng 9,,
kiểm tra chi phí giáo dục năm 2023 nà,Action,REPORT_GENERAL,,Education,,,,,,năm 2023,,
báo cáo chi tiêu đi lại từ đầu quý nhé,Action,REPORT_GENERAL,,Transport,,,,,,từ đầu quý,,
tình hình nhà ở hôm qua như nào rồi,Action,REPORT_GENERAL,,Housing,,,,,,hôm qua,,
thống kê chi phí làm đẹp trong tháng này đi,Action,REPORT_GENERAL,,Beauty,,,,,,tháng này,,
chi phí sức khỏe 2 tuần qua coi,Action,REPORT_GENERAL,,Health,,,,,,2 tuần qua,,
report các khoản linh tinh tháng 8 dùm,Action,REPORT_GENERAL,,Others,,,,,,tháng 8,,
xem tiền giao lưu hôm qua đi app,Action,REPORT_GENERAL,,Social,,,,,,hôm qua,,
báo cáo chi tiêu thiết yếu tháng này coi sao,Action,REPORT_GENERAL,,Essentials,,,,,,tháng này,,
thống kê đầu tư trong năm nay cái,Action,REPORT_GENERAL,,Investment,,,,,,năm nay,,
cho xem tiền giải trí hôm nay nè,Action,REPORT_GENERAL,,Entertainment,,,,,,hôm nay,,
tổng chi phí food tuần này coi thử,Action,REPORT_GENERAL,,Food,,,,,,tuần này,,
report tiền shopping tháng này đi,Action,REPORT_GENERAL,,Shopping,,,,,,tháng này,,
chi phí học hành tháng 7 như thế nào,Action,REPORT_GENERAL,,Education,,,,,,tháng 7,,
tình hình tiền xe cộ tuần trước coi thử coi,Action,REPORT_GENERAL,,Transport,,,,,,tuần trước,,
Cho mình xem chi tiêu ăn uống hôm nay.,Action,REPORT_GENERAL,,Food,,,,,,hôm nay,,
Báo cáo shopping tuần này đi Mimo.,Action,REPORT_GENERAL,,Shopping,,,,,,tuần này,,
Tình hình đi lại tháng trước như nào?,Action,REPORT_GENERAL,,Transport,,,,,,tháng trước,,
Tổng tiền giải trí trong 7 ngày qua là bao nhiêu?,Action,REPORT_GENERAL,,Entertainment,,,,,,7 ngày qua,,
Check xem mình đã tiêu bn cho học hành quý này rùi.,Action,REPORT_GENERAL,,Education,,,,,,quý này,,
Beauty của tớ tháng này hết bao nhiêu?,Action,REPORT_GENERAL,,Beauty,,,,,,tháng này,,
Sức khoẻ hôm qua tiêu gì không?,Action,REPORT_GENERAL,,Health,,,,,,hôm qua,,
Tiền nhà tháng trước là bao nhiêu?,Action,REPORT_GENERAL,,Housing,,,,,,tháng trước,,
Tổng chi cho mối quan hệ xã hội tuần trước nha.,Action,REPORT_GENERAL,,Social,,,,,,tuần trước,,
Xem chi tiêu thiết yếu 30 ngày qua.,Action,REPORT_GENERAL,,Essentials,,,,,,30 ngày qua,,
Báo cáo đầu tư năm ngoái của tui đi.,Action,REPORT_GENERAL,,Investment,,,,,,năm ngoái,,
Chi phí linh tinh tháng này hết bao nhiêu?,Action,REPORT_GENERAL,,Others,,,,,,tháng này,,
Mimo cho mình xem chi tiêu ăn uống tuần trước nhé.,Action,REPORT_GENERAL,,Food,,,,,,tuần trước,,
Xem shopping hôm qua của tớ.,Action,REPORT_GENERAL,,Shopping,,,,,,hôm qua,,
Chi phí đi lại hôm nay bao nhiêu?,Action,REPORT_GENERAL,,Transport,,,,,,hôm nay,,
Giải trí tháng trước mình chi bao nhiêu?,Action,REPORT_GENERAL,,Entertainment,,,,,,tháng trước,,
Học hành quý trước tốn bn tiền?,Action,REPORT_GENERAL,,Education,,,,,,quý trước,,
Tổng chi phí làm đẹp năm nay tới giờ.,Action,REPORT_GENERAL,,Beauty,,,,,,năm nay,,
Sức khoẻ tuần này tiêu gì chưa?,Action,REPORT_GENERAL,,Health,,,,,,tuần này,,
Tiền nhà năm ngoái là bao nhiêu vậy?,Action,REPORT_GENERAL,,Housing,,,,,,năm ngoái,,
Mối quan hệ xã hội tháng này tiêu gì?,Action,REPORT_GENERAL,,Social,,,,,,tháng này,,
Thiết yếu hôm qua hết bao nhiêu?,Action,REPORT_GENERAL,,Essentials,,,,,,hôm qua,,
Đầu tư 7 ngày qua có gì không?,Action,REPORT_GENERAL,,Investment,,,,,,7 ngày qua,,
Những khoản linh tinh tuần này của tui.,Action,REPORT_GENERAL,,Others,,,,,,tuần này,,
Ăn uống nửa đầu năm nay hết bn?,Action,REPORT_GENERAL,,Food,,,,,,nửa đầu năm nay,,
Shopping đầu tháng này hết bn tiền rồi?,Action,REPORT_GENERAL,,Shopping,,,,,,đầu tháng này,,
Đi lại cuối tuần vừa rồi tốn kém không?,Action,REPORT_GENERAL,,Transport,,,,,,cuối tuần vừa rồi,,
Giải trí hôm qua có gì đặc biệt không?,Action,REPORT_GENERAL,,Entertainment,,,,,,hôm qua,,
Học hành nửa cuối tháng trước hết bn?,Action,REPORT_GENERAL,,Education,,,,,,nửa cuối tháng trước,,
Làm đẹp đầu tuần này đã tiêu gì?,Action,REPORT_GENERAL,,Beauty,,,,,,đầu tuần này,,
Sức khoẻ tháng trước có phát sinh gì?,Action,REPORT_GENERAL,,Health,,,,,,tháng trước,,
Tiền nhà quý này như thế nào?,Action,REPORT_GENERAL,,Housing,,,,,,quý này,,
Xã giao hôm nay tiêu gì?,Action,REPORT_GENERAL,,Social,,,,,,hôm nay,,
Thiết yếu tuần trước hết bao nhiêu?,Action,REPORT_GENERAL,,Essentials,,,,,,tuần trước,,
Đầu tư tháng này có gì hot?,Action,REPORT_GENERAL,,Investment,,,,,,tháng này,,
Chi khác năm nay hết bn?,Action,REPORT_GENERAL,,Others,,,,,,năm nay,,
Cho tôi thống kê chi phí ăn uống 30 ngày qua.,Action,REPORT_GENERAL,,Food,,,,,,30 ngày qua,,
"Mimo, tổng chi tiêu mua sắm của tôi hôm nay?",Action,REPORT_GENERAL,,Shopping,,,,,,hôm nay,,
Xem tổng tiền đi lại của tớ tuần này.,Action,REPORT_GENERAL,,Transport,,,,,,tuần này,,
Báo cáo các khoản giải trí trong tháng này.,Action,REPORT_GENERAL,,Entertainment,,,,,,tháng này,,
